Customer_Id,First_Name,Last_Name,Birth_Date,Join_Date,City,State,Street,main_phone_num,secondary_phone_num,fax,monthly_discount,pack_id,gender,martial_status
22,Jeffrey,Harris,1983-09-06,2010-09-01,Denver,Colorado,"7138 Quint Street ",566.974.1551,976.280.8807,775.291.3550,$18.00,42,Male,Married
23,Norris,Cooper,1962-07-05,2006-01-01,Baltimore,Maryland,"4238 Steiner Street ",522.909.8810,941.499.2821,745.170.8289,NULL,13,Female,Divorced
24,Carter,King,1981-05-25,2009-10-20,Washington,District of Columbia,"7907 Evans Avenue ",599.944.9886,NULL,NULL,$2.00,37,Female,Divorced
25,Roscoe,Lee,1960-10-20,2009-09-19,Nashville,Tennessee,"6311 Fulton Street ",539.315.6368,935.315.8983,795.281.2311,$15.00,37,Female,Divorced
26,Asa,Martin,1961-08-08,2010-08-09,Louisville,Kentucky,"9316 Fitch Street ",551.932.2712,977.634.6141,725.720.4965,$25.00,41,Female,Single
27,Bruce,Clarke,1973-12-25,2005-07-19,Milwaukee,Wisconsin,"6680 Mason Street ",570.718.7650,969.308.1311,747.187.1771,$9.00,7,Male,Divorced
28,Burl,James,1973-03-21,2008-06-04,Portland,Oregon,2070 Ringold Street,515.811.9411,944.230.2726,768.948.5557,$18.00,34,Male,Single
29,Tommie,Morgan,1982-08-20,2009-09-07,Oklahoma City,Oklahoma,"2335 Sloat Boulevard ",578.616.6716,910.870.5522,737.905.8225,NULL,NULL,Female,Single
30,Dirk,Hughes,1986-01-12,2008-10-02,Las Vegas,Nevada,5537 Ringold Street,520.777.1319,NULL,793.697.2592,NULL,34,Female,Divorced
31,Hilario,Edwards,1962-08-25,2010-03-13,Albuquerque,New Mexico,"9206 Battery Street ",571.861.6876,971.226.3222,719.269.3338,$4.00,41,Female,Married
32,Dominic,Hill,1972-07-06,2006-05-20,Tucson,Arizona,6782 Keith Street,517.118.1780,NULL,753.929.2592,$29.00,13,Male,Single
33,Boris,Moore,1987-06-24,2006-02-22,Fresno,California,"3686 Balboa Street ",568.501.2117,NULL,782.187.3223,$4.00,18,Male,Single
34,Sam,Clark,1978-06-26,2006-02-24,Sacramento,California,"4634 Balboa Street ",546.423.3097,982.548.1198,NULL,NULL,NULL,Female,Single
35,Tanner,Harrison,1988-12-11,2009-11-26,Long Beach,California,"5274 Quintara Street ",587.491.4586,974.981.6739,765.344.4054,$26.00,37,Male,Single
36,Guillermo,Scott,1987-09-08,2006-05-25,Kansas City,Missouri,1319 La Salle,536.539.2638,976.995.2942,741.495.1354,$30.00,NULL,Female,Married
37,Raphael,Young,1988-12-12,2010-04-07,Mesa,Arizona,5688 Franklin Street,565.934.7066,988.264.6038,794.446.7700,$14.00,42,Male,widowed
38,Bertram,Morris,1990-11-05,2009-10-07,Virginia Beach,Virginia,9827 Coleman Street,543.217.8079,914.629.7577,750.422.9960,NULL,NULL,Female,Married
39,Wilton,Hall,1982-06-25,2010-07-13,Atlanta,Georgia,9503 Halleck Street,525.708.4670,984.508.6353,717.666.3015,NULL,41,Male,Single
40,Sherwood,Ward,1979-10-26,2007-04-18,Colorado Springs,Colorado,"4042 Sunset Boulevard ",520.685.3925,926.505.4148,NULL,$14.00,NULL,Male,Single
41,Denver,Turner,1972-12-13,2007-05-24,Raleigh,North Carolina,"2473 Townsend Street ",573.238.2933,926.395.7205,NULL,NULL,27,Male,Single
42,Cleo,Carter,1976-08-26,2005-09-13,Omaha,Nebraska,"1867 Corbett Avenue ",537.523.3502,977.174.8911,750.972.2195,NULL,1,Male,Married
43,Ivory,Phillips,1990-02-02,2009-08-06,Miami,Florida,3111 Meade Avenue,582.393.3232,992.503.8923,741.799.2055,$3.00,37,Male,Married
44,Edmundo,Mitchell,1975-09-11,2008-04-17,Tulsa,Oklahoma,"5566 Cole Street ",573.770.9085,929.610.4969,720.647.8364,$24.00,NULL,Female,Divorced
45,Jack,Patel,1961-09-09,2005-02-04,Oakland,California,"4410 Guerrero Street ",530.323.2828,921.369.8149,717.902.8540,NULL,NULL,Male,Divorced
46,Kyle,Adams,1977-05-19,2007-08-15,Cleveland,Ohio,2619 Irving Street,591.561.2881,965.315.2909,714.973.9286,$1.00,27,Female,widowed
47,Jordon,Campbell,1990-06-05,2008-05-28,Minneapolis,Minnesota,2555 Newhall Street,577.263.6276,956.721.2348,762.845.2508,NULL,34,Female,widowed
48,Antony,Anderson,1977-03-01,2010-12-23,Wichita,Kansas,4807 Hollister Avenue,559.340.5023,NULL,729.687.6398,$25.00,41,Female,Married
49,Eli,Allen,1985-09-08,2009-04-20,Arlington,Texas,"6633 Balboa Street ",576.312.2752,NULL,769.423.7951,$7.00,39,Male,widowed
50,Diego,Cook,1965-07-27,2007-08-09,New Orleans,Louisiana,5205 Pico Avenue,531.461.5358,978.436.7042,781.276.8564,$11.00,23,Male,Divorced
51,Norman,Bailey,1985-11-18,2010-10-23,Bakersfield,California,6376 Newcomb Avenue,525.867.4450,996.822.2548,738.574.4696,$29.00,42,Male,Married
52,Cary,Parker,1990-02-09,2010-08-12,Tampa,Florida,2597 Key Avenue,594.879.7369,973.103.9698,NULL,$1.00,41,Female,Married
53,Trey,Miller,1978-10-18,2010-07-13,Anaheim,California,"3837 Custer Avenue ",537.497.5007,958.375.8418,NULL,$25.00,42,Male,Married
54,Stanley,Davis,1989-10-16,2007-12-16,Honolulu,Hawaii,"5939 Ecker Street ",549.511.8820,928.686.8087,797.862.8809,$22.00,23,Male,Divorced
55,Keith,Murphy,1983-03-01,2007-05-08,Aurora,Colorado,3215 Mendell Street,547.188.6756,987.985.4315,757.645.7616,$9.00,NULL,Female,Single
56,Colin,Price,1978-06-26,2005-06-26,Santa Ana,California,8873 Keith Street,578.178.7510,926.930.9985,725.833.1141,$21.00,7,Female,Single
57,Lyndon,Bell,1967-06-28,2005-10-11,Saint Louis,Missouri,4586 Keith Street,531.342.7967,NULL,758.611.3018,$1.00,1,Female,Divorced
58,Darell,Baker,1973-08-17,2008-08-10,Riverside,California,2043 Newhall Street,579.364.5830,989.769.7471,762.487.2623,$13.00,34,Male,Single
59,Luciano,Griffiths,1963-08-04,2006-02-18,Corpus Christi,Texas,8195 Riley Avenue,569.395.8502,922.184.5698,742.802.9643,$7.00,18,Male,Single
60,Elmo,Kelly,1962-08-27,2009-05-23,Pittsburgh,Pennsylvania,"1773 Sunset Boulevard ",587.730.2716,961.934.6032,726.633.2549,NULL,37,Male,Single
61,Lucius,Simpson,1984-09-23,2006-07-03,Lexington,Kentucky,"5805 Burnett Avenue ",510.357.6623,929.733.6943,723.652.3544,NULL,18,Female,Single
62,Gino,Marshall,1961-04-04,2006-02-06,Stockton,California,4719 Flood Avenue,517.891.9926,979.496.5889,729.160.8066,$25.00,18,Male,Divorced
63,Collin,Collins,1985-03-13,2005-02-19,Cincinnati,Ohio,7447 Yorba Street,562.875.5747,NULL,714.867.5226,$21.00,NULL,Female,Divorced
64,Jacques,Bennett,1964-04-28,2008-11-02,Anchorage,Alaska,"5359 Gordon Street ",555.510.6067,917.768.7185,785.566.9862,$20.00,31,Female,Divorced
65,Terrell,Cox,1965-08-04,2007-08-09,Saint Paul,Minnesota,"6907 Geary Boulevard ",568.323.7436,NULL,716.498.9418,$25.00,27,Male,Single
66,Ahmed,Richardson,1962-10-26,2005-05-26,Toledo,Ohio,"9082 Fulton Street ",559.642.1559,935.434.2170,711.885.1740,NULL,7,Female,Divorced
67,Gale,Fox,1989-11-05,2008-05-24,Newark,New Jersey,"6045 Bluxome Street ",595.976.4177,NULL,795.822.4133,$1.00,31,Male,Divorced
68,Jeffry,Gray,1986-10-12,2005-05-14,Greensboro,North Carolina,"4803 Taraval street ",540.513.9685,NULL,765.502.4172,$9.00,1,Female,Divorced
69,Frank,Rose,1981-03-14,2010-05-28,Plano,Texas,2304 Montgomery Street,533.334.6370,954.638.9414,742.712.7645,$18.00,42,Female,Married
70,Elvin,Chapman,1987-10-06,2006-04-25,Lincoln,Nebraska,5358 Ingerson Street,538.964.7667,933.818.6751,759.291.7182,$3.00,13,Male,Divorced
71,Michel,Hunt,1963-09-22,2006-01-19,Buffalo,New York,1666 Newhall Street,547.923.9532,975.272.3972,729.721.9117,$3.00,13,Female,Divorced
72,Elbert,Robertson,1983-05-06,2005-07-18,Henderson,Nevada,"7850 Guerrero Street ",595.544.2856,958.369.5191,NULL,$23.00,7,Male,Single
73,Vern,Shaw,1961-03-23,2010-10-19,Fort Wayne,Indiana,1614 Moraga Streeet,511.819.9119,976.861.6056,746.530.1845,NULL,41,Female,Single
74,Augustine,Reynolds,1981-09-07,2010-11-11,Jersey City,New Jersey,"6080 Buchanan Street ",521.419.8289,943.387.9718,754.742.4650,$25.00,42,Male,Divorced
75,Rudolf,Lloyd,1974-09-06,2009-03-21,Chula Vista,California,3867 Kirkwood Avenue,598.745.6311,974.174.6736,792.183.4748,$18.00,39,Male,Divorced
76,Lawrence,Ellis,1963-10-17,2008-06-02,Saint Petersburg,Florida,1560 Phelphs Street,546.948.3706,966.355.6788,791.975.2512,NULL,34,Male,Divorced
77,Refugio,Richards,1961-04-15,2009-01-28,Orlando,Florida,"4206 Gough Street ",570.961.8403,931.255.8283,735.683.6546,$14.00,39,Female,Divorced
78,Dion,Russell,1975-02-27,2009-02-26,Norfolk,Virginia,4536 Alvarado Street,564.321.6426,986.903.3079,718.360.5607,$27.00,37,Male,Married
79,Theo,Wilkinson,1987-09-01,2008-09-14,Laredo,Texas,"4268 Evans Avenue ",563.105.8535,969.762.8995,799.246.5898,$6.00,NULL,Female,Married
80,Desmond,Khan,1974-08-04,2009-06-05,Chandler,Arizona,5596 Kirkham Street,565.549.3466,995.871.1388,798.223.3242,$14.00,37,Male,Divorced
81,Len,Graham,1989-08-18,2006-09-13,Madison,Wisconsin,"8733 Donahue Street ",542.621.9271,NULL,773.456.6936,NULL,13,Female,Married
82,Pierre,Stewart,1987-07-15,2010-11-02,Lubbock,Texas,"6768 Cabrillo Street ",598.537.2312,920.541.2443,767.679.9216,$15.00,41,Male,Single
83,Shad,Reid,1960-10-04,2009-12-07,Durham,North Carolina,7750 Leese Street,513.319.1387,998.483.5235,792.932.5151,NULL,NULL,Female,Married
84,Leonard,Murray,1976-08-13,2007-02-06,WinstonûSalem,North Carolina,4674 Hearst Avenue,552.564.7408,967.803.9407,785.810.7029,NULL,27,Male,widowed
85,Avery,Powell,1968-10-21,2007-07-25,Garland,Texas,"2692 Ecker Street ",558.876.6196,982.586.8328,NULL,NULL,23,Female,Married
86,Moises,Palmer,1988-10-03,2008-08-20,Glendale,Arizona,"8133 Bryant Street ",568.472.5967,NULL,791.215.4453,$29.00,31,Male,Divorced
87,Chong,Holmes,1980-05-03,2007-09-09,Baton Rouge,Louisiana,7523 Phelphs Street,519.803.3102,988.758.8645,755.852.8282,$18.00,23,Male,Single
88,Antoine,Rogers,1975-03-22,2007-12-10,Hialeah,Florida,9500 Wallace Avenue,555.258.5396,954.791.9795,NULL,$2.00,23,Female,Divorced
89,Morris,Stevens,1976-06-13,2010-06-14,Reno,Nevada,5445 Pacheco Street,581.963.7606,910.931.3766,789.507.5425,$6.00,41,Male,Married
90,Augustus,Walsh,1974-09-13,2009-04-20,Chesapeake,Virginia,5240 Vallejo Street,534.553.9652,941.141.4088,779.659.3774,$15.00,39,Female,Divorced
91,Horace,Hunter,1973-07-07,2006-05-22,Scottsdale,Arizona,"6964 Buchanan Street ",544.387.4716,917.159.2022,728.710.6572,$1.00,13,Female,widowed
92,Jody,Thomson,1983-08-25,2005-09-05,Irving,Texas,"2963 Sharon Street ",535.233.5911,983.572.1484,NULL,$15.00,1,Female,widowed
93,Merle,Matthews,1984-09-12,2010-06-09,North Las Vegas,Nevada,1924 Toland Street,549.692.7933,NULL,NULL,$1.00,42,Male,Divorced
94,Gerardo,Ross,1970-08-15,2010-09-28,Fremont,California,2544 Franklin Street,590.657.6470,927.871.1823,750.394.3226,$23.00,41,Male,Single
95,Williams,Owen,1978-05-11,2006-08-26,Irvine,California,"4673 Custer Avenue ",540.161.2535,961.274.8997,788.407.3209,$4.00,NULL,Female,Single
96,George,Mason,1971-12-21,2006-04-16,San Bernardino,California,"4435 Sanchez Street ",534.603.7751,967.680.9459,NULL,$20.00,13,Female,Married
97,Antonia,Knight,1964-12-10,2007-12-23,Birmingham,Alabama,6513 Waller Street,584.815.7145,933.216.7188,799.737.5203,$6.00,23,Male,Single
98,Shirley,Kennedy,1972-02-26,2009-04-02,Gilbert,Arizona,2114 Yorke Street,533.775.1310,NULL,799.722.9695,$28.00,39,Male,Married
99,Jarred,Butler,1963-07-10,2008-11-15,Rochester,New York,5749 Flood Avenue,544.988.6333,NULL,713.701.3841,$6.00,31,Female,widowed
100,Lucio,Saunders,1987-06-27,2007-08-05,"Boise ",Idaho,"7892 Burnett Avenue ",557.650.5449,955.673.2066,780.420.2560,$7.00,23,Female,Divorced
101,Claud,Cole,1967-04-10,2006-09-20,Spokane,Washington,7860 Le Conte Avenue,531.232.8759,956.756.4334,758.815.6750,$2.00,13,Male,Single
102,Zachary,Pearce,1966-02-18,2005-06-03,Montgomery,Alabama,6899 Perry Street,546.486.9769,961.527.2353,NULL,$26.00,7,Female,Divorced
103,Andrea,Dean,1977-09-23,2006-11-28,Des Moines,Iowa,5150 Divisadero Street,528.728.6375,944.823.2519,NULL,$6.00,18,Female,Divorced
104,Michale,Foster,1962-06-17,2009-05-19,Richmond,Virginia,"2193 Fulton Street ",535.404.5259,NULL,734.943.7897,NULL,39,Male,Divorced
105,Shayne,Harvey,1969-05-21,2007-08-25,Fayetteville,North Carolina,4156 Rankin Street,568.463.5377,NULL,723.774.8972,NULL,23,Male,Single
106,Ronald,Hudson,1988-06-28,2005-07-04,Modesto,California,"6085 Sanchez Street ",535.227.7197,NULL,760.750.6328,NULL,1,Male,Single
107,Gilberto,Gibson,1978-12-13,2007-10-28,Shreveport,Louisiana,"8838 Donner Avenue ",540.454.7445,916.635.1559,718.954.3588,$2.00,23,Female,widowed
108,Kenton,Mills,1962-04-11,2007-01-25,Tacoma,Washington,"6306 Steuart Street ",576.454.9995,980.295.2356,798.460.5131,$30.00,23,Male,Married
109,Peter,Berry,1982-03-24,2007-01-12,Oxnard,California,"9748 Fulton Street ",578.336.9485,953.211.1839,758.619.2603,$18.00,27,Female,Divorced
110,Benjamin,Barnes,1980-05-23,2009-06-01,Aurora,Illinois,9024 Newcomb Avenue,584.592.2544,943.207.6199,787.321.6700,$22.00,NULL,Male,Single
111,Douglas,Pearson,1960-04-13,2007-10-07,Fontana,California,"4877 Treat Avenue ",559.107.9485,991.877.1456,NULL,NULL,NULL,Male,Single
112,Allan,Kaur,1966-05-01,2010-09-19,Akron,Ohio,4987 Halleck Street,513.298.3374,941.536.8867,734.887.3026,NULL,NULL,Male,Married
113,Buford,Booth,1984-03-26,2006-04-15,Moreno Valley,California,"9737 Thomas Avenue ",575.775.2414,NULL,732.416.2174,$7.00,13,Female,Divorced
114,Dannie,Dixon,1983-07-06,2005-03-13,Yonkers,New York,"6365 Balboa Street ",532.722.4300,911.858.6906,NULL,$16.00,7,Female,Divorced
115,Hugh,Grant,1974-08-28,2005-12-28,Augusta,Georgia,"9884 Pixley Street ",574.653.7663,961.729.2513,779.938.4509,$17.00,1,Male,Married
116,Robt,Gordon,1987-03-17,2007-01-18,Little Rock,Arkansas,"2688 Gough Street ",526.457.5643,NULL,712.810.6787,NULL,23,Male,Married
117,Deangelo,Lane,1981-05-08,2005-09-19,Mobile,Alabama,8747 Alvarado Street,538.538.4669,949.389.5020,729.764.6627,$1.00,1,Male,Divorced
118,Tyrone,Harper,1990-03-23,2006-04-20,Columbus,Georgia,"3515 Fairfax Avenue ",526.340.4429,987.806.4434,779.449.9959,$30.00,13,Female,Divorced
119,Odis,Ali,1966-06-17,2007-03-19,Amarillo,Texas,7322 Ulloa Street,543.344.6662,942.162.1590,769.914.5302,NULL,27,Female,widowed
120,Jesus,Hart,1967-03-20,2009-08-10,Glendale,California,7424 McKinnon Avenue,591.166.3535,NULL,744.629.1796,$29.00,37,Male,Divorced
121,Del,Mcdonald,1973-08-09,2007-10-19,Huntington Beach,California,1425 Mission Street,536.229.7195,983.186.9908,747.176.2000,$21.00,27,Female,Divorced
122,Clay,Brooks,1960-07-02,2009-07-25,Salt Lake City,Utah,5282 Turk Street,571.849.8259,917.940.5621,730.274.8998,$2.00,39,Female,Single
123,Floyd,Ryan,1964-04-22,2005-08-03,Grand Rapids,Michigan,9739 Phelphs Street,570.316.4908,NULL,794.545.9641,$27.00,NULL,Female,Single
124,Damon,Carr,1983-08-21,2008-07-16,Tallahassee,Florida,7573 Sutter Street,585.999.2790,964.399.9551,NULL,$1.00,31,Male,Divorced
125,Lindsey,Macdonald,1963-03-14,2010-05-16,Huntsville,Alabama,"4889 Fitzgerald Avenue ",526.250.9640,968.112.9932,777.865.9179,$25.00,42,Male,Married
126,Modesto,Hamilton,1984-02-02,2006-08-20,Worcester,Massachusetts,"3848 Fell Street ",512.111.6763,916.163.4081,790.257.8990,NULL,13,Female,widowed
127,Jarvis,Johnston,1970-04-18,2008-05-05,Knoxville,Tennessee,2969 Ortega Street,567.701.6465,951.449.2260,774.183.5183,$10.00,31,Female,Married
128,Leif,West,1978-10-06,2005-06-13,Newport News,Virginia,"7025 Griffith Street ",557.269.7806,973.877.2874,729.999.8728,$16.00,1,Male,Married
129,Max,Gill,1990-08-27,2010-06-06,Grand Prairie,Texas,9559 Kirkham Street,530.542.2601,949.901.5832,743.187.2649,$22.00,42,Male,Single
130,Colby,Dawson,1978-02-25,2010-10-17,Brownsville,Texas,"2063 Gilbert Street ",537.794.1679,983.877.9985,763.462.3558,NULL,42,Male,Divorced
131,Jospeh,Armstrong,1978-05-04,2006-09-12,Providence,Rhode Island,"2845 Lee Avenue ",537.209.5156,910.502.5894,757.267.5301,$20.00,13,Male,Married
132,Mikel,Gardner,1973-05-13,2009-07-18,Santa Clarita,California,"5987 Clay Street ",529.275.3009,914.622.9342,792.926.6648,$29.00,37,Female,Single
133,Buck,Stone,1963-09-01,2010-02-20,Overland Park,Kansas,2102 Selby StreetSerra Boulevard,562.864.3175,992.622.4113,NULL,$14.00,41,Male,Married
134,Leonardo,Andrews,1989-06-10,2009-09-06,Jackson,Mississippi,"7952 Golden Gate Avenue ",562.315.4426,989.771.2655,754.608.7502,$18.00,39,Male,Single
135,Rick,Williamson,1978-08-11,2007-12-23,Garden Grove,California,3989 Hawes Street,543.870.6962,984.657.9609,728.600.4946,NULL,23,Female,widowed
136,Jonah,Barker,1966-05-06,2009-12-17,Chattanooga,Tennessee,"2777 Lee Avenue ",526.622.4052,983.881.2449,NULL,$8.00,NULL,Male,Single
137,Agustin,George,1973-06-16,2008-11-04,Oceanside,California,"9477 Brannan Street ",598.804.8215,934.180.9581,NULL,$2.00,34,Female,Married
138,Ron,Fisher,1963-12-14,2008-10-02,Santa Rosa,California,2030 Hawes Street,530.922.5519,980.687.7046,760.560.8929,$22.00,31,Female,Divorced
139,Marc,Cunningham,1974-06-21,2008-11-19,Fort Lauderdale,Florida,4232 Lyon Street,552.520.1733,952.875.9650,796.119.5166,$11.00,31,Male,Divorced
140,William,Watts,1969-06-21,2010-12-20,Rancho Cucamonga,California,"5915 McAllister Street ",562.326.2728,NULL,761.427.6522,NULL,42,Female,Married
141,Dennis,Webb,1976-11-18,2007-07-05,Ontario,California,2487 Lane Street,555.776.5414,NULL,766.524.4441,NULL,NULL,Female,widowed
142,Milan,Lawrence,1984-10-19,2008-02-09,Port Saint Lucie,Florida,"8958 Castro Street ",569.704.4279,945.299.3934,783.555.1917,$24.00,31,Male,Married
143,Darrell,Bradley,1980-02-25,2010-05-17,Vancouver,Washington,1612 Rivera Street,564.680.6113,915.842.2064,NULL,$27.00,42,Male,widowed
144,Gaylord,Jenkins,1967-01-25,2009-02-03,Tempe,Arizona,7158 Selby StreetSerra Boulevard,592.944.1320,957.426.6246,743.196.3358,$17.00,39,Female,Single
145,Byron,Wells,1961-08-02,2010-04-02,Springfield,Missouri,1845 Jones Street,529.306.7517,989.537.3708,NULL,$20.00,42,Male,Divorced
146,Gabriel,Chambers,1965-06-14,2007-07-06,Lancaster,California,"7694 Lee Avenue ",527.738.7000,981.378.1162,NULL,$18.00,27,Female,Single
147,Lindsay,Spencer,1967-06-18,2009-07-10,Pembroke Pines,Florida,"9149 Bancroft Avenue ",520.615.7035,924.747.9938,NULL,$23.00,NULL,Female,Married
148,Jay,Poole,1981-07-18,2009-06-18,Cape Coral,Florida,"1945 Bush Street ",585.540.4383,931.837.1907,780.839.7163,$10.00,37,Male,Single
149,Jess,Atkinson,1974-11-20,2007-08-28,Eugene,Oregon,"7210 Donahue Street ",589.399.1542,984.265.9544,717.158.7365,$28.00,NULL,Female,Single
150,Bradford,Lawson,1971-11-10,2006-03-12,Peoria,Arizona,"2122 Leidesdorff Street ",589.454.3933,NULL,735.224.4949,NULL,13,Male,Divorced
151,Jaime,Smith,1960-02-23,2008-06-21,Sioux Falls,South Dakota,"2526 Columbus Avenue ",587.681.8732,994.428.6012,733.692.8272,$7.00,31,Female,Married
152,Darius,Jones,1961-12-09,2010-06-04,Salem,Oregon,"7277 Dupont Street ",532.361.1115,NULL,788.542.6819,$26.00,41,Male,Married
153,Deon,Taylor,1972-12-19,2005-09-11,Corona,California,"3513 Geary Boulevard ",565.394.3293,986.370.9829,767.258.2954,$1.00,NULL,Male,Divorced
154,Ryan,Williams,1970-06-07,2008-03-17,Elk Grove,California,8623 Irving Street,587.470.9100,987.543.7060,752.334.8608,NULL,NULL,Male,Divorced
155,Israel,Brown,1969-10-07,2009-02-13,Palmdale,California,"2662 Hayes Street ",581.832.6760,NULL,759.315.4916,$2.00,39,Male,Divorced
156,Kareem,Davies,1972-02-02,2007-08-07,Springfield,Massachusetts,"2383 Ingalls Street ",591.119.1876,922.522.2413,775.815.3868,$24.00,NULL,Male,widowed
157,Sheldon,Evans,1977-08-14,2009-05-04,Salinas,California,4194 Jones Street,599.166.1716,990.535.3120,NULL,$3.00,39,Female,Single
158,Zackary,Wilson,1981-12-28,2005-05-14,Pasadena,Texas,"9763 Leidesdorff Street ",523.507.7771,NULL,797.996.1513,$5.00,NULL,Female,Divorced
159,Jon,Thomas,1966-11-23,2010-08-19,Rockford,Illinois,"7714 Grijalva Street ",525.852.7249,967.198.9553,722.788.9069,$14.00,41,Female,Single
160,Yong,Roberts,1986-06-18,2009-06-08,Pomona,California,"5725 Stanford Street ",538.325.2217,956.111.2926,792.908.3174,$30.00,39,Female,Divorced
161,Genaro,Johnson,1962-01-13,2009-02-27,Joliet,Illinois,"9826 Arguello Street ",568.191.8937,975.334.4412,712.967.9955,$28.00,37,Female,widowed
162,Trenton,Lewis,1961-09-28,2006-05-26,Fort Collins,Colorado,4529 Hyde Street,552.130.3922,984.704.3594,743.258.3543,$29.00,13,Male,Single
163,Joaquin,Walker,1964-10-25,2010-10-13,Torrance,California,"7154 De Haro Street ",525.574.2352,NULL,757.249.3681,$3.00,41,Male,widowed
164,Jayson,Robinson,1964-05-23,2010-06-21,Kansas City,Kansas,5624 Yorke Street,530.854.5370,994.834.4914,779.427.3284,NULL,NULL,Female,Divorced
165,Lenny,Wood,1987-12-11,2010-02-09,Paterson,New Jersey,4206 Jones Street,518.447.6520,978.772.2702,768.431.1407,$16.00,NULL,Male,Divorced
166,Hipolito,Thompson,1980-05-18,2010-08-14,Hayward,California,"2492 Davidson Avenue ",558.122.5221,983.269.2760,763.166.2181,$10.00,41,Female,Divorced
167,Gregg,White,1986-08-09,2007-05-13,Escondido,California,"6992 Griffith Street ",544.591.8282,939.564.4177,737.195.5051,$12.00,23,Female,Divorced
168,Forrest,Watson,1970-09-19,2005-02-01,Bridgeport,Connecticut,7987 Van Ness Avenue,598.509.7400,981.942.1568,NULL,$6.00,7,Female,Divorced
169,Edwin,Jackson,1971-07-06,2008-01-13,Syracuse,New York,3018 Market Street,558.234.7746,NULL,728.716.7938,$18.00,34,Female,Divorced
170,Clarence,Wright,1967-11-07,2007-09-14,Lakewood,Colorado,"5445 Columbus Avenue ",552.558.8431,914.386.2761,NULL,NULL,23,Female,Married
171,Francisco,Green,1982-03-05,2010-07-28,Alexandria,Virginia,"2880 Garrison Avenue ",530.885.3143,960.900.3593,715.341.5581,$5.00,41,Female,Divorced
