CustomerID,FirstName,LastName,State,City,PackageID,MonthlyDiscount,JoinDate,MainPhoneNumber,BirthDate
29,Tommie,Morgan,Oklahoma City,Oklahoma,,52,26/02/2006,516-150-7131,20/03/1989
30,Dirk,Hughes,Las Vegas,Nevada,34,97,27/02/2006,892-068-5226,09/01/1991
31,Hilario,Edwards,Albuquerque,New Mexico,41,67,28/02/2006,655-126-8640,21/01/1994
32,Dominic,Hill,Tucson,Arizona,13,97,01/03/2006,462-903-6323,28/10/1990
33,Boris,Moore,Fresno,California,18,90,02/03/2006,665-291-2413,29/03/1980
34,Sam,Clark,Sacramento,California,,3,03/03/2006,992-254-7705,31/08/1986
35,Tanner,Harrison,Long Beach,California,37,69,04/03/2006,344-539-4067,18/05/1979
36,Guillermo,Scott,Kansas City,Missouri,,41,05/03/2006,142-338-4607,17/09/1975
37,Raphael,Young,Mesa,Arizona,42,67,06/03/2006,993-041-6756,18/06/1963
38,Bertram,Morris,Virginia Beach,Virginia,,41,07/03/2006,532-220-6988,01/11/1982
39,Wilton,Hall,Atlanta,Georgia,41,73,08/03/2006,637-250-7675,21/08/1970
40,Sherwood,Ward,Colorado Springs,Colorado,,48,09/03/2006,517-258-7569,17/03/1964
41,Denver,Turner,Raleigh,North Carolina,27,2,10/03/2006,758-574-5899,21/10/1989
42,Cleo,Carter,Omaha,Nebraska,1,71,11/03/2006,314-872-0871,02/04/1976
43,Ivory,Phillips,Miami,Florida,37,29,12/03/2006,834-315-0477,28/10/1985
44,Edmundo,Mitchell,Tulsa,Oklahoma,,79,13/03/2006,390-747-8561,17/07/1973
45,Jack,Patel,Oakland,California,,30,14/03/2006,146-641-8485,05/02/1985
46,Kyle,Adams,Cleveland,Ohio,27,28,15/03/2006,457-382-8917,09/03/1971
47,Jordon,Campbell,Minneapolis,Minnesota,34,93,16/03/2006,973-019-1229,28/10/1970
48,Antony,Anderson,Wichita,Kansas,41,97,17/03/2006,527-109-2295,03/11/1963
49,Eli,Allen,Arlington,Texas,39,24,18/03/2006,227-085-7173,08/11/1971
50,Diego,Cook,New Orleans,Louisiana,23,31,19/03/2006,959-590-8517,16/10/1972
51,Norman,Bailey,Bakersfield,California,42,55,20/03/2006,903-874-0733,28/01/1979
52,Cary,Parker,Tampa,Florida,41,18,21/03/2006,681-034-8773,02/04/1969
53,Trey,Miller,Anaheim,California,42,1,22/03/2006,388-775-8252,20/11/1990
54,Stanley,Davis,Honolulu,Hawaii,23,86,23/03/2006,770-994-2445,11/08/1990
55,Keith,Murphy,Aurora,Colorado,,68,24/03/2006,613-730-6338,17/12/1965
56,Colin,Price,Santa Ana,California,7,89,25/03/2006,396-491-0257,31/03/1979
57,Lyndon,Bell,Saint Louis,Missouri,1,25,26/03/2006,173-997-9085,01/12/1988
58,Darell,Baker,Riverside,California,34,52,27/03/2006,441-022-0243,19/06/1979
59,Luciano,Griffiths,Corpus Christi,Texas,18,34,28/03/2006,230-172-9260,12/06/1982
60,Elmo,Kelly,Pittsburgh,Pennsylvania,37,84,29/03/2006,491-522-1847,30/11/1985
61,Lucius,Simpson,Lexington,Kentucky,18,40,30/03/2006,730-087-4878,15/05/1967
62,Gino,Marshall,Stockton,California,18,51,31/03/2006,497-752-1011,13/12/1966
63,Collin,Collins,Cincinnati,Ohio,,57,01/04/2006,398-530-9408,12/11/1983
64,Jacques,Bennett,Anchorage,Alaska,31,47,02/04/2006,666-294-5225,27/11/1969
65,Terrell,Cox,Saint Paul,Minnesota,27,81,03/04/2006,376-847-3160,04/02/1992
66,Ahmed,Richardson,Toledo,Ohio,7,69,04/04/2006,496-400-3418,13/12/1982
67,Gale,Fox,Newark,New Jersey,31,42,05/04/2006,310-500-4597,29/11/1966
68,Jeffry,Gray,Greensboro,North Carolina,1,56,06/04/2006,724-131-0732,24/12/1993
69,Frank,Rose,Plano,Texas,42,44,07/04/2006,383-975-4992,20/08/1963
70,Elvin,Chapman,Lincoln,Nebraska,13,95,08/04/2006,647-260-8548,14/02/1968
71,Michel,Hunt,Buffalo,New York,13,97,09/04/2006,863-157-2598,02/12/1985
72,Elbert,Robertson,Henderson,Nevada,7,10,10/04/2006,606-197-2775,14/04/1986
73,Vern,Shaw,Fort Wayne,Indiana,41,80,11/04/2006,155-511-3921,14/11/1987
74,Augustine,Reynolds,Jersey City,New Jersey,42,16,12/04/2006,841-238-9954,23/04/1971
75,Rudolf,Lloyd,Chula Vista,California,39,43,13/04/2006,383-330-4616,01/06/1990
76,Lawrence,Ellis,Saint Petersburg,Florida,34,8,14/04/2006,665-207-7683,23/09/1977
77,Refugio,Richards,Orlando,Florida,39,16,15/04/2006,395-982-2587,18/04/1967
78,Dion,Russell,Norfolk,Virginia,37,51,16/04/2006,288-847-3162,22/10/1967
79,Theo,Wilkinson,Laredo,Texas,,59,17/04/2006,396-871-7675,18/01/1992
80,Desmond,Khan,Chandler,Arizona,37,66,18/04/2006,240-369-0927,22/12/1962
81,Len,Graham,Madison,Wisconsin,13,97,19/04/2006,637-285-4442,11/12/1984
82,Pierre,Stewart,Lubbock,Texas,41,62,20/04/2006,697-431-2664,23/10/1967
83,Shad,Reid,Durham,North Carolina,,1,21/04/2006,219-935-6601,02/09/1975
84,Leonard,Murray,Winston?Salem,North Carolina,27,96,22/04/2006,764-981-7970,17/12/1963
85,Avery,Powell,Garland,Texas,23,50,23/04/2006,168-795-9122,17/07/1970
86,Moises,Palmer,Glendale,Arizona,31,59,24/04/2006,729-945-6641,14/05/1977
87,Chong,Holmes,Baton Rouge,Louisiana,23,97,25/04/2006,406-343-4303,12/01/1994
88,Antoine,Rogers,Hialeah,Florida,23,10,26/04/2006,425-164-1140,13/12/1971
89,Morris,Stevens,Reno,Nevada,41,77,27/04/2006,902-752-5844,14/03/1980
90,Augustus,Walsh,Chesapeake,Virginia,39,90,28/04/2006,742-180-0823,22/04/1973
91,Horace,Hunter,Scottsdale,Arizona,13,95,29/04/2006,286-356-2711,02/11/1991
92,Jody,Thomson,Irving,Texas,1,17,30/04/2006,693-141-2556,08/02/1989
93,Merle,Matthews,North Las Vegas,Nevada,42,48,01/05/2006,182-008-1012,22/07/1973
94,Gerardo,Ross,Fremont,California,41,41,02/05/2006,408-125-1061,20/07/1980
95,Williams,Owen,Irvine,California,,31,03/05/2006,110-537-3962,26/06/1984
96,George,Mason,San Bernardino,California,13,99,04/05/2006,227-498-9238,16/04/1971
97,Antonia,Knight,Birmingham,Alabama,23,7,05/05/2006,637-037-2265,16/04/1979
98,Shirley,Kennedy,Gilbert,Arizona,39,63,06/05/2006,882-909-4226,05/08/1991
99,Jarred,Butler,Rochester,New York,31,38,07/05/2006,368-074-0094,22/07/1983
100,Lucio,Saunders,Boise ,Idaho,23,38,08/05/2006,617-776-3268,06/08/1987
101,Claud,Cole,Spokane,Washington,13,89,09/05/2006,646-058-5424,26/09/1965
102,Zachary,Pearce,Montgomery,Alabama,7,47,10/05/2006,653-296-9936,24/02/1972
103,Andrea,Dean,Des Moines,Iowa,18,33,11/05/2006,979-498-1206,29/09/1983
104,Michale,Foster,Richmond,Virginia,39,4,12/05/2006,439-648-9502,25/07/1978
105,Shayne,Harvey,Fayetteville,North Carolina,23,94,13/05/2006,398-245-8454,23/09/1971
106,Ronald,Hudson,Modesto,California,1,60,14/05/2006,214-000-7696,03/06/1965
107,Gilberto,Gibson,Shreveport,Louisiana,23,6,15/05/2006,212-662-8731,16/01/1993
108,Kenton,Mills,Tacoma,Washington,23,69,16/05/2006,183-952-8119,14/11/1975
109,Peter,Berry,Oxnard,California,27,15,17/05/2006,642-835-9873,22/01/1977
110,Benjamin,Barnes,Aurora,Illinois,,6,18/05/2006,699-103-8637,02/05/1976
111,Douglas,Pearson,Fontana,California,,82,19/05/2006,985-595-4961,18/06/1985
112,Allan,Kaur,Akron,Ohio,,84,20/05/2006,896-012-6765,20/06/1980
113,Buford,Booth,Moreno Valley,California,13,78,21/05/2006,923-433-4201,25/05/1990
114,Dannie,Dixon,Yonkers,New York,7,16,22/05/2006,682-537-9483,12/02/1963
115,Hugh,Grant,Augusta,Georgia,1,52,23/05/2006,435-989-3344,25/11/1963
116,Robt,Gordon,Little Rock,Arkansas,23,29,24/05/2006,841-341-0723,10/01/1970
117,Deangelo,Lane,Mobile,Alabama,1,4,25/05/2006,938-537-8923,19/06/1976
118,Tyrone,Harper,Columbus,Georgia,13,14,26/05/2006,861-344-3171,28/05/1976
119,Odis,Ali,Amarillo,Texas,27,95,27/05/2006,359-132-2895,08/01/1974
120,Jesus,Hart,Glendale,California,37,85,28/05/2006,192-399-6484,24/07/1986
121,Del,Mcdonald,Huntington Beach,California,27,6,29/05/2006,353-818-4837,17/02/1993
122,Clay,Brooks,Salt Lake City,Utah,39,55,30/05/2006,795-883-5682,24/03/1973
123,Floyd,Ryan,Grand Rapids,Michigan,,49,31/05/2006,825-621-0475,17/12/1981
124,Damon,Carr,Tallahassee,Florida,31,56,01/06/2006,716-115-4686,17/02/1980
125,Lindsey,Macdonald,Huntsville,Alabama,42,79,02/06/2006,935-143-8248,12/10/1985
126,Modesto,Hamilton,Worcester,Massachusetts,13,55,03/06/2006,806-139-7315,01/10/1981
127,Jarvis,Johnston,Knoxville,Tennessee,31,67,04/06/2006,660-224-9707,06/12/1980
128,Leif,West,Newport News,Virginia,1,35,05/06/2006,334-390-7201,05/04/1979
129,Max,Gill,Grand Prairie,Texas,42,80,06/06/2006,404-705-0685,15/05/1963
130,Colby,Dawson,Brownsville,Texas,42,70,07/06/2006,174-639-1061,13/12/1994
131,Jospeh,Armstrong,Providence,Rhode Island,13,65,08/06/2006,418-036-7961,28/07/1967
132,Mikel,Gardner,Santa Clarita,California,37,20,09/06/2006,465-813-5456,04/05/1982
133,Buck,Stone,Overland Park,Kansas,41,78,10/06/2006,538-089-7429,25/10/1962
134,Leonardo,Andrews,Jackson,Mississippi,39,59,11/06/2006,123-032-2210,16/02/1970
135,Rick,Williamson,Garden Grove,California,23,9,12/06/2006,389-385-0277,22/02/1983
136,Jonah,Barker,Chattanooga,Tennessee,,77,13/06/2006,130-874-8463,13/01/1986
137,Agustin,George,Oceanside,California,34,69,14/06/2006,286-509-9436,29/06/1985
138,Ron,Fisher,Santa Rosa,California,31,93,15/06/2006,295-454-0943,07/04/1976
139,Marc,Cunningham,Fort Lauderdale,Florida,31,13,16/06/2006,203-590-9153,20/11/1990
140,William,Watts,Rancho Cucamonga,California,42,25,17/06/2006,162-060-0064,20/05/1983
141,Dennis,Webb,Ontario,California,,22,18/06/2006,776-335-9541,26/01/1986
142,Milan,Lawrence,Port Saint Lucie,Florida,31,13,19/06/2006,878-757-0982,23/06/1967
143,Darrell,Bradley,Vancouver,Washington,42,99,20/06/2006,929-350-6885,02/09/1990
144,Gaylord,Jenkins,Tempe,Arizona,39,84,21/06/2006,151-351-4511,06/10/1972
145,Byron,Wells,Springfield,Missouri,42,33,22/06/2006,113-853-8541,06/11/1990
146,Gabriel,Chambers,Lancaster,California,27,6,23/06/2006,815-228-1097,14/11/1972
147,Lindsay,Spencer,Pembroke Pines,Florida,,30,24/06/2006,380-210-1202,29/10/1994
148,Jay,Poole,Cape Coral,Florida,37,23,25/06/2006,100-319-3919,22/11/1993
149,Jess,Atkinson,Eugene,Oregon,,78,26/06/2006,110-528-0788,14/12/1972
150,Bradford,Lawson,Peoria,Arizona,13,59,27/06/2006,418-694-8062,06/08/1972
151,Jaime,Smith,Sioux Falls,South Dakota,31,38,28/06/2006,783-096-0815,18/06/1968
152,Darius,Jones,Salem,Oregon,41,22,29/06/2006,199-597-9828,19/09/1986
153,Deon,Taylor,Corona,California,,73,30/06/2006,553-526-6065,07/05/1968
154,Ryan,Williams,Elk Grove,California,,31,01/07/2006,899-126-0216,22/01/1988
155,Israel,Brown,Palmdale,California,39,64,02/07/2006,375-739-7719,11/05/1993
156,Kareem,Davies,Springfield,Massachusetts,,42,03/07/2006,231-093-1070,02/04/1977
157,Sheldon,Evans,Salinas,California,39,48,04/07/2006,260-443-8627,14/01/1973
158,Zackary,Wilson,Pasadena,Texas,,43,05/07/2006,408-820-6473,29/12/1968
159,Jon,Thomas,Rockford,Illinois,41,56,06/07/2006,951-761-5081,27/08/1987
160,Yong,Roberts,Pomona,California,39,94,07/07/2006,188-596-6098,05/04/1980
161,Genaro,Johnson,Joliet,Illinois,37,72,08/07/2006,514-681-9924,30/04/1962
162,Trenton,Lewis,Fort Collins,Colorado,13,1,09/07/2006,718-307-9364,05/12/1987
163,Joaquin,Walker,Torrance,California,41,84,10/07/2006,816-054-7173,12/09/1973
164,Jayson,Robinson,Kansas City,Kansas,,54,11/07/2006,184-265-0601,22/10/1983
165,Lenny,Wood,Paterson,New Jersey,,65,12/07/2006,382-107-9642,05/02/1977
166,Hipolito,Thompson,Hayward,California,41,47,13/07/2006,770-266-6008,25/01/1970
167,Gregg,White,Escondido,California,23,63,14/07/2006,490-219-5014,27/07/1975
168,Forrest,Watson,Bridgeport,Connecticut,7,47,15/07/2006,985-741-1926,30/06/1994
169,Edwin,Jackson,Syracuse,New York,34,88,16/07/2006,414-439-5838,21/05/1974
170,Clarence,Wright,Lakewood,Colorado,23,79,17/07/2006,460-112-6933,04/09/1992
171,Francisco,Green,Alexandria,Virginia,41,64,18/07/2006,156-812-9648,26/10/1969
172,Josue,Harris,Hollywood,Florida,41,76,19/07/2006,455-647-1078,03/12/1970
173,Al,Cooper,Naperville,Illinois,23,66,20/07/2006,757-546-5121,06/09/1975
174,Gary,King,Mesquite,Texas,1,10,21/07/2006,171-759-0543,26/03/1991
175,Alphonso,Lee,Sunnyvale,California,41,81,22/07/2006,375-846-7936,29/09/1992
176,Brant,Martin,Dayton,Ohio,41,17,23/07/2006,903-870-4403,08/05/1993
177,Cedric,Clarke,Cary,North Carolina,7,60,24/07/2006,243-363-9572,11/04/1987
178,Clark,James,Orange,California,,84,25/07/2006,508-841-6904,16/02/1970
179,Cortez,Morgan,Pasadena,California,34,52,26/07/2006,679-380-0678,12/08/1989
180,Kelly,Hughes,Fullerton,California,23,41,27/07/2006,941-633-4074,25/01/1966
181,Luke,Edwards,Hampton,Virginia,27,24,28/07/2006,598-508-6743,04/02/1963
182,Delmar,Hill,Clarksville,Tennessee,37,62,29/07/2006,297-158-5279,31/12/1977
183,Roland,Moore,McKinney,Texas,,26,30/07/2006,626-389-3736,28/05/1972
184,Mike,Clark,Warren,Michigan,39,82,31/07/2006,511-995-1915,13/05/1962
185,Emory,Harrison,McAllen,Texas,39,57,01/08/2006,297-608-7525,20/06/1987
186,Leandro,Scott,West Valley City,Utah,39,24,02/08/2006,937-147-2738,03/12/1990
187,Thomas,Young,Columbia,South Carolina,37,7,03/08/2006,508-453-1557,12/12/1967
188,Domenic,Morris,Killeen,Texas,13,93,04/08/2006,699-945-0000,13/09/1993
189,Tyler,Hall,New Haven,Connecticut,18,5,05/08/2006,918-218-3939,12/09/1967
190,Errol,Ward,Topeka,Kansas,37,83,06/08/2006,654-214-8734,10/12/1962
191,Stacey,Turner,Thousand Oaks,California,,27,07/08/2006,170-628-6197,23/03/1969
192,Davis,Carter,Olathe,Kansas,,70,08/08/2006,367-882-5459,03/09/1963
193,Harrison,Phillips,Cedar Rapids,Iowa,,89,09/08/2006,515-391-2171,22/07/1992
194,Enrique,Mitchell,Waco,Texas,1,15,10/08/2006,706-377-1568,16/05/1987
195,Cory,Patel,Visalia,California,42,16,11/08/2006,222-218-8119,15/09/1992
196,Ariel,Adams,Elizabeth,New Jersey,1,80,12/08/2006,783-454-0425,30/01/1972
197,Russel,Campbell,Simi Valley,California,18,20,13/08/2006,625-137-4975,06/03/1965
198,Chadwick,Anderson,Gainesville,Florida,13,79,14/08/2006,985-068-8766,04/07/1992
199,Lucas,Allen,Hartford,Connecticut,42,39,15/08/2006,994-994-8461,22/05/1992
200,Rocky,Cook,Bellevue,Washington,27,23,16/08/2006,411-497-8894,25/10/1971
201,Antonia,Bailey,Miramar,Florida,,8,17/08/2006,278-288-1258,18/03/1975
202,Buddy,Parker,Concord,California,37,77,18/08/2006,828-339-5997,28/04/1963
203,Eugenio,Miller,Stamford,Connecticut,7,89,19/08/2006,267-426-2445,26/12/1990
204,Burton,Davis,Coral Springs,Florida,27,35,20/08/2006,804-503-4417,23/09/1963
205,Rufus,Murphy,Charleston,South Carolina,41,5,21/08/2006,366-577-4284,22/11/1990
206,Neil,Price,Carrollton,Texas,39,63,22/08/2006,341-276-1824,09/12/1964
207,Garret,Bell,Lafayette,Louisiana,39,77,23/08/2006,908-871-4900,28/04/1975
208,Art,Baker,Roseville,California,37,24,24/08/2006,592-222-0571,09/08/1984
209,Garrett,Griffiths,Thornton,Colorado,18,44,25/08/2006,715-965-6333,06/06/1975
210,Damian,Kelly,Frisco,Texas,37,23,26/08/2006,737-939-8028,13/11/1983
211,Roosevelt,Simpson,Kent,Washington,42,91,27/08/2006,218-300-3015,10/04/1993
212,Chet,Marshall,Surprise,Arizona,27,1,28/08/2006,840-303-4179,27/04/1977
213,Cornell,Collins,Allentown,Pennsylvania,41,6,29/08/2006,240-153-1369,20/03/1980
214,Sandy,Bennett,Beaumont,Texas,41,77,30/08/2006,411-371-1854,11/10/1977
215,Melvin,Cox,Santa Clara,California,31,94,31/08/2006,390-712-9675,13/06/1983
216,Garry,Richardson,Abilene,Texas,13,39,01/09/2006,522-855-4842,21/05/1970
217,Ambrose,Fox,Evansville,Indiana,27,30,02/09/2006,124-656-7508,05/10/1983
218,Waldo,Gray,Victorville,California,42,35,03/09/2006,975-504-4197,31/07/1993
219,Warren,Rose,Independence,Missouri,7,96,04/09/2006,362-173-1498,20/10/1992
220,Conrad,Chapman,Denton,Texas,34,88,05/09/2006,472-100-4143,31/03/1977
221,Waylon,Hunt,Springfield,Illinois,39,48,06/09/2006,889-386-5053,14/03/1969
222,Benito,Robertson,Vallejo,California,7,9,07/09/2006,354-785-5614,23/11/1983
223,Matthew,Shaw,Athens,Georgia,37,63,08/09/2006,986-754-0294,02/08/1986
224,Gregorio,Reynolds,Provo,Utah,37,89,09/09/2006,403-779-0585,19/04/1983
225,Kirby,Lloyd,Peoria,Illinois,34,72,10/09/2006,829-697-5333,02/02/1993
226,Erwin,Ellis,Ann Arbor,Michigan,41,74,11/09/2006,118-131-0593,17/06/1983
227,Reed,Richards,Lansing,Michigan,39,6,12/09/2006,234-563-9525,22/10/1984
228,Devin,Russell,El Monte,California,42,26,13/09/2006,755-383-8676,17/12/1962
229,Silas,Wilkinson,Midland,Texas,,51,14/09/2006,314-434-4473,08/02/1989
230,Eldon,Khan,Berkeley,California,34,20,15/09/2006,761-724-2931,09/06/1968
231,Palmer,Graham,Norman,Oklahoma,18,86,16/09/2006,564-756-6521,15/09/1990
232,Armando,Stewart,Downey,California,41,20,17/09/2006,740-573-8604,11/07/1987
233,Stacy,Reid,Costa Mesa,California,7,53,18/09/2006,591-993-9550,16/07/1969
234,Xavier,Murray,Murfreesboro,Tennessee,31,3,19/09/2006,208-484-4751,01/02/1983
235,Nick,Powell,Inglewood,California,13,10,20/09/2006,845-303-0382,12/03/1980
236,Dino,Palmer,Columbia,Missouri,41,81,21/09/2006,492-939-3901,22/11/1975
237,Mack,Holmes,Manchester,New Hampshire,23,58,22/09/2006,419-166-8085,29/09/1987
238,Reggie,Rogers,Miami Gardens,Florida,34,42,23/09/2006,337-936-5617,16/02/1977
239,Samual,Stevens,Elgin,Illinois,31,17,24/09/2006,670-820-5229,25/07/1972
240,Malik,Walsh,Wilmington,North Carolina,,9,25/09/2006,983-320-6310,01/07/1994
241,Claudio,Hunter,Westminster,Colorado,13,62,26/09/2006,736-437-8059,03/02/1992
242,Ray,Thomson,Rochester,Minnesota,41,52,27/09/2006,275-305-9465,13/09/1965
243,Oren,Matthews,Clearwater,Florida,7,94,28/09/2006,547-875-2274,23/03/1992
244,Juan,Ross,Lowell,Massachusetts,,38,29/09/2006,202-610-6873,15/06/1987
245,Paris,Owen,Pueblo,Colorado,34,5,30/09/2006,610-483-4644,03/07/1990
246,Joey,Mason,Arvada,Colorado,39,89,01/10/2006,778-202-8665,31/01/1971
247,Valentine,Knight,San Buenaventura (Ventura),California,41,30,02/10/2006,473-721-0852,06/06/1983
248,Tommy,Kennedy,Gresham,Oregon,7,3,03/10/2006,201-459-9270,18/12/1981
249,Orville,Butler,Fargo,North Dakota,37,45,04/10/2006,360-543-3976,02/11/1971
250,Kerry,Saunders,Carlsbad,California,34,53,05/10/2006,544-681-9147,18/08/1968
251,Tod,Cole,West Covina,California,,20,06/10/2006,936-377-7736,07/10/1976
252,Erasmo,Pearce,Norwalk,California,23,95,07/10/2006,232-284-9647,02/02/1992
253,Manual,Dean,Fairfield,California,42,85,08/10/2006,834-612-7767,27/04/1985
254,Marquis,Foster,Cambridge,Massachusetts,18,95,09/10/2006,231-838-3153,24/05/1980
255,Noah,Harvey,Murrieta,California,23,10,10/10/2006,305-176-4629,24/08/1967
256,Russell,Hudson,Green Bay,Wisconsin,41,66,11/10/2006,559-225-7649,23/03/1975
257,Cristopher,Gibson,High Point,North Carolina,42,61,12/10/2006,534-044-7180,05/12/1972
258,Fritz,Mills,West Jordan,Utah,23,18,13/10/2006,673-016-0800,05/01/1972
259,Craig,Berry,Billings,Montana,,80,14/10/2006,943-586-2377,01/02/1963
260,Tory,Barnes,Richmond,California,18,5,15/10/2006,852-118-5434,27/10/1972
261,Ernesto,Pearson,Round Rock,Texas,18,87,16/10/2006,503-769-9025,20/07/1971
262,Chance,Kaur,Everett,Washington,37,65,17/10/2006,329-705-4882,22/03/1993
263,Dwayne,Booth,Burbank,California,,65,18/10/2006,933-046-1299,02/03/1988
264,Elvis,Dixon,Antioch,California,7,37,19/10/2006,588-839-1415,14/11/1963
265,Britt,Grant,Wichita Falls,Texas,34,62,20/10/2006,528-785-0037,28/02/1990
266,Jermaine,Gordon,Palm Bay,Florida,18,22,21/10/2006,780-067-2463,13/10/1987
267,Jarrett,Lane,Centennial,Colorado,42,2,22/10/2006,610-931-7689,20/04/1966
268,Warner,Harper,Temecula,California,7,51,23/10/2006,590-398-0431,27/01/1979
269,Reuben,Ali,Daly City,California,,20,24/10/2006,392-305-2126,26/10/1968
270,Albert,Hart,Odessa,Texas,27,65,25/10/2006,622-822-7992,17/12/1982
271,Donte,Mcdonald,Erie,Pennsylvania,13,16,26/10/2006,563-437-1821,21/11/1971
272,Irvin,Brooks,Richardson,Texas,,88,27/10/2006,931-129-8368,28/01/1963
273,Booker,Ryan,Pompano Beach,Florida,42,85,28/10/2006,443-999-0567,14/01/1980
274,Taylor,Carr,Flint,Michigan,34,33,29/10/2006,675-651-3010,22/06/1991
275,Ahmad,Macdonald,South Bend,Indiana,34,26,30/10/2006,956-504-5102,11/10/1973
276,Derrick,Hamilton,West Palm Beach,Florida,1,34,31/10/2006,444-426-6942,21/12/1973
277,Rolland,Johnston,Davenport,Iowa,41,5,01/11/2006,215-636-2942,22/03/1991
278,Virgilio,West,Rialto,California,23,39,02/11/2006,175-228-9068,20/07/1967
279,Cordell,Gill,Santa Maria,California,,49,03/11/2006,401-982-8428,02/12/1984
280,Kelley,Dawson,Broken Arrow,Oklahoma,,14,04/11/2006,954-846-0664,05/01/1963
281,Coy,Armstrong,New York,New York,18,96,05/11/2006,523-212-3065,11/06/1977
282,Kristofer,Gardner,Los Angeles,California,23,44,06/11/2006,437-505-5104,11/05/1981
283,Jeff,Stone,Chicago,Illinois,41,3,07/11/2006,396-587-9572,25/05/1975
284,Morton,Andrews,Houston,Texas,31,50,08/11/2006,864-393-2300,28/09/1981
285,Wiley,Williamson,Philadelphia,Pennsylvania,41,71,09/11/2006,368-990-4151,22/08/1978
286,Rich,Barker,Phoenix,Arizona,,84,10/11/2006,491-159-1468,12/02/1994
287,Rex,George,San Antonio,Texas,23,28,11/11/2006,830-195-0210,05/12/1973
288,Johnson,Fisher,San Diego,California,31,52,12/11/2006,727-068-0466,27/04/1965
289,Eliseo,Cunningham,San Jose,California,,39,13/11/2006,736-465-4663,14/01/1978
290,Sherman,Watts,Jacksonville,Florida,,81,14/11/2006,961-641-7699,20/04/1965
291,Darwin,Webb,Indianapolis,Indiana,23,24,15/11/2006,461-613-8197,13/02/1968
292,Arron,Lawrence,Austin,Texas,42,72,16/11/2006,779-761-6732,12/02/1979
293,Minh,Bradley,San Francisco,California,18,70,17/11/2006,549-324-0781,29/12/1990
294,Kip,Jenkins,Columbus,Ohio,41,86,18/11/2006,216-870-1540,27/03/1985
295,Walker,Wells,Fort Worth,Texas,23,13,19/11/2006,462-456-8858,26/07/1969
296,Alexander,Chambers,Charlotte,North Carolina,31,31,20/11/2006,291-909-0530,24/01/1969
297,Francesco,Spencer,Detroit,Michigan,31,19,21/11/2006,276-560-6282,02/10/1969
298,Bernardo,Poole,El Paso,Texas,39,8,22/11/2006,642-247-5913,16/05/1980
299,Cristobal,Atkinson,Memphis,Tennessee,7,58,23/11/2006,894-702-8438,13/04/1989
300,Antione,Lawson,Boston,Massachusetts,18,54,24/11/2006,386-711-5488,16/10/1992
301,Mathew,Smith,Seattle,Washington,42,13,25/11/2006,209-661-7397,22/12/1987
